FID IID POP
HG01863 HG01863 EAS
HG01864 HG01864 EAS
HG01865 HG01865 EAS
HG01866 HG01866 EAS
HG01867 HG01867 EAS
HG01868 HG01868 EAS
HG01869 HG01869 EAS
HG01870 HG01870 EAS
HG01871 HG01871 EAS
HG01872 HG01872 EAS
HG01873 HG01873 EAS
HG01874 HG01874 EAS
HG01878 HG01878 EAS
HG01879 HG01879 AFR
HG01880 HG01880 AFR
HG01882 HG01882 AFR
HG01883 HG01883 AFR
HG01885 HG01885 AFR
HG01886 HG01886 AFR
HG01889 HG01889 AFR
HG01890 HG01890 AFR
HG01892 HG01892 AMR
HG01893 HG01893 AMR
HG01894 HG01894 AFR
HG01896 HG01896 AFR
HG01912 HG01912 AFR
HG01914 HG01914 AFR
HG01915 HG01915 AFR
HG01917 HG01917 AMR
HG01918 HG01918 AMR
HG01920 HG01920 AMR
HG01921 HG01921 AMR
HG01923 HG01923 AMR
HG01924 HG01924 AMR
HG01926 HG01926 AMR
HG01927 HG01927 AMR
HG01932 HG01932 AMR
HG01933 HG01933 AMR
HG01935 HG01935 AMR
HG01936 HG01936 AMR
HG01938 HG01938 AMR
HG01939 HG01939 AMR
HG01941 HG01941 AMR
HG01942 HG01942 AMR
HG01944 HG01944 AMR
HG01945 HG01945 AMR
HG01947 HG01947 AMR
HG01948 HG01948 AMR
HG01950 HG01950 AMR
HG01951 HG01951 AMR
HG01953 HG01953 AMR
HG01954 HG01954 AMR
HG01956 HG01956 AFR
HG01958 HG01958 AFR
HG01961 HG01961 AMR
HG01965 HG01965 AMR
HG01967 HG01967 AMR
HG01968 HG01968 AMR
HG01970 HG01970 AMR
HG01971 HG01971 AMR
HG01973 HG01973 AMR
HG01974 HG01974 AMR
HG01976 HG01976 AMR
HG01977 HG01977 AMR
HG01979 HG01979 AMR
HG01980 HG01980 AMR
HG01982 HG01982 AMR
HG01985 HG01985 AFR
HG01986 HG01986 AFR
HG01988 HG01988 AFR
HG01989 HG01989 AFR
HG01990 HG01990 AFR
HG01991 HG01991 AMR
HG01992 HG01992 AMR
HG01997 HG01997 AMR
HG02002 HG02002 AMR
HG02003 HG02003 AMR
HG02006 HG02006 AMR
HG02008 HG02008 AMR
HG02009 HG02009 AFR
HG02010 HG02010 AFR
HG02012 HG02012 AFR
HG02013 HG02013 AFR
HG02014 HG02014 AFR
HG02016 HG02016 EAS
HG02017 HG02017 EAS
HG02019 HG02019 EAS
HG02020 HG02020 EAS
HG02023 HG02023 EAS
HG02025 HG02025 EAS
HG02026 HG02026 EAS
HG02028 HG02028 EAS
HG02029 HG02029 EAS
HG02031 HG02031 EAS
HG02032 HG02032 EAS
HG02035 HG02035 EAS
HG02040 HG02040 EAS
HG02047 HG02047 EAS
HG02048 HG02048 EAS
HG02049 HG02049 EAS
HG02050 HG02050 EAS
HG02051 HG02051 AFR
HG02052 HG02052 AFR
HG02053 HG02053 AFR
HG02054 HG02054 AFR
HG02057 HG02057 EAS
HG02058 HG02058 EAS
HG02060 HG02060 EAS
HG02061 HG02061 EAS
HG02064 HG02064 EAS
HG02067 HG02067 EAS
HG02069 HG02069 EAS
HG02070 HG02070 EAS
HG02072 HG02072 EAS
HG02073 HG02073 EAS
HG02075 HG02075 EAS
HG02076 HG02076 EAS
HG02078 HG02078 EAS
HG02079 HG02079 EAS
HG02081 HG02081 EAS
HG02082 HG02082 EAS
HG02084 HG02084 EAS
HG02085 HG02085 EAS
HG02086 HG02086 EAS
HG02087 HG02087 EAS
HG02088 HG02088 EAS
HG02089 HG02089 AMR
HG02090 HG02090 AMR
HG02095 HG02095 AFR
HG02102 HG02102 AMR
HG02104 HG02104 AMR
HG02105 HG02105 AMR
HG02107 HG02107 AFR
HG02108 HG02108 AFR
HG02111 HG02111 AFR
HG02113 HG02113 EAS
HG02116 HG02116 EAS
HG02121 HG02121 EAS
HG02122 HG02122 EAS
HG02127 HG02127 EAS
HG02128 HG02128 EAS
HG02130 HG02130 EAS
HG02131 HG02131 EAS
HG02133 HG02133 EAS
HG02134 HG02134 EAS
HG02136 HG02136 EAS
HG02137 HG02137 EAS
HG02138 HG02138 EAS
HG02139 HG02139 EAS
HG02140 HG02140 EAS
HG02141 HG02141 EAS
HG02142 HG02142 EAS
HG02143 HG02143 AFR
HG02144 HG02144 AFR
HG02146 HG02146 AMR
