trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,42,255,MELD_lambda0_equal,-0.00432809270370908,-7.73035713511695e-16
Asthma,22,42,255,MELD_lambda1_afproj,-0.0186855487527687,-2.58204120009208e-15
Asthma,22,42,255,EUR,-0.0419602881645813,-3.01759005613394e-15
Asthma,22,42,255,EAS,-0.0358368125131453,-3.16375424083019e-15
Asthma,22,42,255,AFR,-0.0253991517230054,-1.73947041384566e-15
Asthma,22,42,255,CSA,-0.0331733007234495,-3.20662769895795e-15
Asthma,22,42,255,AMR,-0.0385226799949137,-2.54088261952166e-15
Asthma,22,42,255,MID,-0.0319674679986231,-2.524677269419e-15
Asthma,22,43,47,MELD_lambda0_afproj,-0.00143656773157098,-7.14601990897663e-17
Asthma,22,43,47,MELD_lambda0_reportN,-0.00188359825864658,-6.59050481646271e-16
Asthma,22,43,47,MELD_lambda0_equal,-0.000109792400908821,-1.72604986998265e-16
Asthma,22,43,47,MELD_lambda1_afproj,-0.00122543030687466,6.29011142894561e-17
Asthma,22,43,47,EUR,-0.00965484633093583,-3.08182635783454e-16
Asthma,22,43,47,EAS,-0.00628526913846586,-5.36398043628836e-16
Asthma,22,43,47,AFR,-0.000717798139693162,-1.09989998614818e-16
Asthma,22,43,47,CSA,-0.00365001570688809,-8.71321884403624e-17
Asthma,22,43,47,AMR,-0.00171292385779541,-2.01801776823531e-16
Asthma,22,43,47,MID,-0.000610559470914775,-3.76215894568542e-16
Asthma,22,44,175,MELD_lambda0_afproj,-0.00798237546515571,-1.65360436097462e-15
Asthma,22,44,175,MELD_lambda0_reportN,-0.00865902112026036,-9.28093786501435e-16
Asthma,22,44,175,MELD_lambda0_equal,-0.00132349825425692,-4.77248094821685e-16
Asthma,22,44,175,MELD_lambda1_afproj,-0.00709677826750191,-1.09277398413312e-15
Asthma,22,44,175,EUR,-0.0204508918318616,-2.58719419592236e-15
Asthma,22,44,175,EAS,-0.0198931703984848,-1.34031664602205e-15
