trait,delta,candidate,mean,sd,lo95,hi95
COPD,0.001,MELD_lambda0_afproj,0.868409782665778,0.0133245350173471,0.841423448428657,0.893822553857408
COPD,0.001,MELD_lambda0_reportN,0.868016411136587,0.0134367184810151,0.839721833782468,0.892373770115098
COPD,0.001,MELD_lambda0_equal,0.867141517222708,0.0114388288490845,0.843401330696277,0.887901845706113
COPD,0.001,MELD_lambda1_afproj,0.865553790292293,0.013174592413782,0.839256440094551,0.889928685985595
COPD,0.001,EUR,0.812550630122721,0.0200175050745321,0.769678221454486,0.848957126904365
COPD,0.001,EAS,0.682696723947966,0.026804199017433,0.629108814896762,0.732846990373595
COPD,0.001,AFR,0.581542401088877,0.0203310313027337,0.543089007778448,0.622404221420212
COPD,0.001,CSA,0.771233061799401,0.015169375566895,0.742580110118678,0.802978692558148
COPD,0.001,AMR,0.752583589243888,0.0256062149791518,0.699398750125049,0.800012601665638
COPD,0.01,MELD_lambda0_afproj,0.88494766081636,0.0114891334060729,0.860410572237376,0.905950283426141
COPD,0.01,MELD_lambda0_reportN,0.884492153446357,0.0115483632071235,0.860701331387293,0.905823898690297
COPD,0.01,MELD_lambda0_equal,0.874435166961101,0.0114397239509375,0.851459964589334,0.895771639196909
COPD,0.01,MELD_lambda1_afproj,0.883257890434201,0.0115510341629501,0.859319888767551,0.904107353939607
COPD,0.01,EUR,0.856362207218033,0.0144974367024329,0.82735479597625,0.883405465025939
COPD,0.01,EAS,0.7714612260268,0.0193363718958138,0.732627244562253,0.80797307995876
COPD,0.01,AFR,0.661292102107774,0.0206905837738808,0.621192807929812,0.701930309504112
COPD,0.01,CSA,0.828943161238191,0.0137305494413006,0.801182786156772,0.854239078924323
COPD,0.01,AMR,0.813195713481166,0.0210297311711971,0.768428841945791,0.850595510036929
COPD,0.1,MELD_lambda0_afproj,0.881924445926473,0.0108009136837367,0.85985067599916,0.902258863102419
COPD,0.1,MELD_lambda0_reportN,0.881822595501458,0.0111299669085935,0.859910610525991,0.902849448555592
COPD,0.1,MELD_lambda0_equal,0.872805069828147,0.0112453184291162,0.849524335400577,0.893569777105203
COPD,0.1,MELD_lambda1_afproj,0.87956311147025,0.0112034629758566,0.857005949829528,0.900918175655714
COPD,0.1,EUR,0.86385969802709,0.0123858289658933,0.838215258451406,0.886956411554598
COPD,0.1,EAS,0.784343117970268,0.0165341751159273,0.750740936665068,0.815009716390489
COPD,0.1,AFR,0.700569926352305,0.0190561459782427,0.660980536944226,0.735384554505821
COPD,0.1,CSA,0.844076535724485,0.0117625306513485,0.819604648447491,0.865537720553458
COPD,0.1,AMR,0.825144350454425,0.0174435561846928,0.790706555513421,0.85699153827144
Gout,0.001,MELD_lambda0_afproj,0.874665003334802,0.0133552718964468,0.847096213184013,0.899095191921207
Gout,0.001,MELD_lambda0_reportN,0.874108875564704,0.013109614028551,0.845663339430445,0.897504809856964
Gout,0.001,MELD_lambda0_equal,0.867621116099972,0.0120710938314115,0.842712631830327,0.890241152250627
Gout,0.001,MELD_lambda1_afproj,0.872386739193094,0.0131918765338551,0.844447579435788,0.89629234886893
Gout,0.001,EUR,0.813324638480203,0.0152730115797875,0.781856746339283,0.841968653927694
Gout,0.001,EAS,0.712423677331322,0.0226484891433121,0.665211127058632,0.757589153120566
Gout,0.001,AFR,0.571056151587535,0.0291827361752953,0.51538464868366,0.626458330276583
Gout,0.001,CSA,0.771941938072814,0.0149462450175007,0.743235810243529,0.802206488025621
Gout,0.001,AMR,0.749587145088671,0.01981994004139,0.709890305246807,0.787309161491649
Gout,0.01,MELD_lambda0_afproj,0.888391126721899,0.0110634653635814,0.864955990997841,0.90783824123544
Gout,0.01,MELD_lambda0_reportN,0.888050043196266,0.0112389988969065,0.864143303965481,0.908350008441898
Gout,0.01,MELD_lambda0_equal,0.87631025355042,0.0115740207237827,0.852136652991663,0.896879201318381
Gout,0.01,MELD_lambda1_afproj,0.886088131985503,0.0109345003983761,0.862514435125571,0.906433450243733
Gout,0.01,EUR,0.854961132749808,0.0130660416821305,0.82830483607213,0.878711315505209
Gout,0.01,EAS,0.801271503018957,0.0142113318513291,0.774098802953768,0.829444101372189
Gout,0.01,AFR,0.643165893817764,0.0256774898880465,0.594624056572477,0.69333029585397
Gout,0.01,CSA,0.824989672257346,0.0140082319406185,0.79715461917654,0.85140556275372
Gout,0.01,AMR,0.813496033185843,0.0166497879539643,0.779168696187362,0.845575177318299
Gout,0.1,MELD_lambda0_afproj,0.888338436771873,0.00966564863043442,0.86845575961948,0.906807734517779
Gout,0.1,MELD_lambda0_reportN,0.88806085080149,0.00986872619041531,0.868719714014643,0.906893164010862
Gout,0.1,MELD_lambda0_equal,0.876626424232788,0.0109917033465882,0.853202786802274,0.896268928621764
Gout,0.1,MELD_lambda1_afproj,0.886044090383265,0.0100575151516297,0.866466262092443,0.904957478541387
Gout,0.1,EUR,0.864573168011674,0.0117645669429657,0.840645899589743,0.886684927874703
Gout,0.1,EAS,0.813931906714467,0.0119214384456495,0.790766271366782,0.837344106973786
Gout,0.1,AFR,0.68520767120494,0.0210699808686579,0.641619186024916,0.726025110947837
Gout,0.1,CSA,0.840365557659219,0.0124740723363071,0.816326948663287,0.863663428730639
Gout,0.1,AMR,0.830721214749648,0.0145647044766991,0.798863241993374,0.856711035944114
HF,0.001,MELD_lambda0_afproj,0.894491397859793,0.00996299012462557,0.872812250737547,0.913431489052121
HF,0.001,MELD_lambda0_reportN,0.893711331675081,0.0100508784795999,0.873577230442209,0.912648735483528
HF,0.001,MELD_lambda0_equal,0.877487073813391,0.0107650266829278,0.855379468283764,0.896619870997351
HF,0.001,MELD_lambda1_afproj,0.89214753467568,0.0101318344716552,0.87115263179579,0.911663271338474
