chr,block_id,m,w_eur,candidate,min_eig_pre,min_eig_post,r2_pre,r2_post
22,16,417,0.75,MELD_lambda1,-0.00127315552280786,-7.46030746490294e-16,0.975591545566408,0.975559987062406
22,16,417,0.75,EUR,-0.00626685771410487,-2.41362245808217e-15,0.968996041924466,0.970999807946954
22,16,417,0.75,AFR,-0.0037576973796667,-7.88808888143535e-16,0.774723701080368,0.77462635450296
22,16,417,0.5,MELD_lambda0,-0.000924680021679593,-1.36119508686469e-15,0.919592472959651,0.919563502018817
22,16,417,0.5,MELD_lambda1,-0.000840423357865879,-1.64530307160254e-15,0.914713175980592,0.914670371835428
22,16,417,0.5,EUR,-0.00626685771410487,-2.41362245808217e-15,0.847183490390061,0.854728663134745
22,16,417,0.5,AFR,-0.0037576973796667,-7.88808888143535e-16,0.761200191813295,0.760273837033586
22,16,417,0.5,MELD_pooled,-0.00176096210257329,-1.08040306174219e-15,0.913342246777999,0.913561028050441
22,16,417,0.25,MELD_lambda0,-0.00100669513072106,-4.3292560921141e-16,0.830496798769785,0.830614611447124
22,16,417,0.25,MELD_lambda1,-0.000893450122977504,-1.15495511750798e-15,0.828370495820163,0.828435162402339
22,16,417,0.25,EUR,-0.00626685771410487,-2.41362245808217e-15,0.693117260011829,0.701310814254568
22,16,417,0.25,AFR,-0.0037576973796667,-7.88808888143535e-16,0.698719195755703,0.69720529230889
22,17,615,0.75,MELD_lambda0,-0.0513953797188825,-4.91986018581677e-15,0.980531012623144,0.980040765638583
22,17,615,0.75,MELD_lambda1,-0.0454853572205692,-5.41148888033375e-15,0.95981455185119,0.977867772312397
22,17,615,0.75,EUR,-0.0726845728781553,-7.81894480303853e-15,0.88725669827012,0.954884389717184
22,17,615,0.75,AFR,-0.0825315432930509,-6.75443130787943e-15,0.708146919081766,0.777547113798609
22,17,615,0.5,MELD_lambda0,-0.0450317708029043,-6.18044932851469e-15,0.940197010488342,0.946016301909366
22,17,615,0.5,MELD_lambda1,-0.0376506464200271,-4.70937053983588e-15,0.947549177783262,0.940919575380421
22,17,615,0.5,EUR,-0.0726845728781553,-7.81894480303853e-15,0.659177291728824,0.881978925445205
22,17,615,0.5,AFR,-0.0825315432930509,-6.75443130787943e-15,0.731770572781726,0.792132077141571
22,17,615,0.5,MELD_pooled,-0.111659880769718,-7.45442838734205e-15,0.920874714779399,0.929660316627552
22,17,615,0.25,MELD_lambda0,-0.0473503325784624,-5.34896647961189e-15,0.60279871065553,0.911856796896569
22,17,615,0.25,MELD_lambda1,-0.0401314924688955,-4.89003102903503e-15,0.00502790113204059,0.905464974045173
22,17,615,0.25,EUR,-0.0726845728781553,-7.81894480303853e-15,0.439122955011568,0.817637178801663
22,17,615,0.25,AFR,-0.0825315432930509,-6.75443130787943e-15,0.771101963295832,0.824165376430707
22,18,507,0.75,MELD_lambda0,-0.0908356336633076,-1.72253872915344e-15,0.794501405015023,0.957683515737401
22,18,507,0.75,MELD_lambda1,-0.0768276760140882,-1.76296860497778e-15,0.153780476794268,0.948587947941482
22,18,507,0.75,EUR,-0.176508738672174,-4.74089591860029e-15,0.869642803115375,0.905852886333397
22,18,507,0.75,AFR,-0.063120387480242,-1.77400531634189e-15,0.704428159508651,0.84131298009104
22,18,507,0.5,MELD_lambda0,-0.0627435692996295,-1.92334737915042e-15,0.93420923266728,0.940209854460931
22,18,507,0.5,MELD_lambda1,-0.0497611509432337,-1.82981383512013e-15,0.916929474179678,0.923051336114379
22,18,507,0.5,EUR,-0.176508738672174,-4.74089591860029e-15,0.747348177654712,0.811824264505073
22,18,507,0.5,AFR,-0.063120387480242,-1.77400531634189e-15,0.713079386396197,0.870945996280653
22,18,507,0.5,MELD_pooled,-0.0878977563957047,-1.99196190428787e-15,0.919032516431035,0.905804301605879
22,18,507,0.25,MELD_lambda0,-0.0443236328251829,-2.36971310519427e-15,0.902789726511245,0.920301290377077
22,18,507,0.25,MELD_lambda1,-0.0367536114864166,-2.113981424361e-15,0.886141054946359,0.914108513816722
22,18,507,0.25,EUR,-0.176508738672174,-4.74089591860029e-15,0.694078154866229,0.770163038950004
22,18,507,0.25,AFR,-0.063120387480242,-1.77400531634189e-15,0.731221354299001,0.881215126165041
22,19,829,0.75,MELD_lambda0,-0.0305386407966142,-2.26117652207241e-15,0.794342545812819,0.847423630303594
22,19,829,0.75,MELD_lambda1,-0.0296358337095613,-2.84702482192188e-15,0.809813392797377,0.832151289130538
22,19,829,0.75,EUR,-0.0484730702109275,-4.55061970870235e-15,0.192138948000468,0.636002124647308
22,19,829,0.75,AFR,-0.0536278083328401,-2.447855050842e-15,0.0981221837234871,0.570356184106258
22,19,829,0.5,MELD_lambda0,-0.0263312396942705,-2.50122299939672e-15,0.780234975067649,0.812479132682669
22,19,829,0.5,MELD_lambda1,-0.0251777759766796,-2.06089651975261e-15,0.782177671471365,0.808454037978109
22,19,829,0.5,EUR,-0.0484730702109275,-4.55061970870235e-15,0.095756253105241,0.488226742830885
22,19,829,0.5,AFR,-0.0536278083328401,-2.447855050842e-15,0.0564773635848109,0.604694664994928
22,19,829,0.5,MELD_pooled,-0.0294361368365942,-2.28301692968436e-15,0.274347484274241,0.720258208123819
22,19,829,0.25,MELD_lambda0,-0.027750072841024,-2.33797051736479e-15,0.662116798633726,0.784986087007058
22,19,829,0.25,MELD_lambda1,-0.0266260678016798,-1.92353078812973e-15,0.686484671247445,0.798348225150283
22,19,829,0.25,EUR,-0.0484730702109275,-4.55061970870235e-15,0.142719117175662,0.444940627051073
22,19,829,0.25,AFR,-0.0536278083328401,-2.447855050842e-15,0.0594360271804484,0.613101768759952
22,20,769,0.75,MELD_lambda0,-0.0627155151138455,-1.29742435458927e-15,0.934170844704146,0.932879098789436
22,20,769,0.75,MELD_lambda1,-0.0531851069826003,-1.94423902498521e-15,0.928337437994636,0.929541548393371
22,20,769,0.75,EUR,-0.0887069905077495,-2.57416279528483e-15,0.917988493811429,0.918761299498312
22,20,769,0.75,AFR,-0.31506393309349,-1.29139527052541e-15,0.666230052582802,0.641641231503674
22,20,769,0.5,MELD_lambda0,-0.0716015138238685,-1.09343131705139e-15,0.851945884536447,0.850707762813008
