trait,sweep_kind,sweep_id,pop,w
HF,EUR_EAS,EUR_EAS_02,EAS,0.9
HF,EUR_EAS,EUR_EAS_02,AFR,0
HF,EUR_EAS,EUR_EAS_02,AMR,0
HF,EUR_EAS,EUR_EAS_03,EUR,0.2
HF,EUR_EAS,EUR_EAS_03,EAS,0.8
HF,EUR_EAS,EUR_EAS_03,AFR,0
HF,EUR_EAS,EUR_EAS_03,AMR,0
HF,EUR_EAS,EUR_EAS_04,EUR,0.3
HF,EUR_EAS,EUR_EAS_04,EAS,0.7
HF,EUR_EAS,EUR_EAS_04,AFR,0
HF,EUR_EAS,EUR_EAS_04,AMR,0
HF,EUR_EAS,EUR_EAS_05,EUR,0.4
HF,EUR_EAS,EUR_EAS_05,EAS,0.6
HF,EUR_EAS,EUR_EAS_05,AFR,0
HF,EUR_EAS,EUR_EAS_05,AMR,0
HF,EUR_EAS,EUR_EAS_06,EUR,0.5
HF,EUR_EAS,EUR_EAS_06,EAS,0.5
HF,EUR_EAS,EUR_EAS_06,AFR,0
HF,EUR_EAS,EUR_EAS_06,AMR,0
HF,EUR_EAS,EUR_EAS_07,EUR,0.6
HF,EUR_EAS,EUR_EAS_07,EAS,0.4
HF,EUR_EAS,EUR_EAS_07,AFR,0
HF,EUR_EAS,EUR_EAS_07,AMR,0
HF,EUR_EAS,EUR_EAS_08,EUR,0.7
HF,EUR_EAS,EUR_EAS_08,EAS,0.3
HF,EUR_EAS,EUR_EAS_08,AFR,0
HF,EUR_EAS,EUR_EAS_08,AMR,0
HF,EUR_EAS,EUR_EAS_09,EUR,0.8
HF,EUR_EAS,EUR_EAS_09,EAS,0.2
HF,EUR_EAS,EUR_EAS_09,AFR,0
HF,EUR_EAS,EUR_EAS_09,AMR,0
HF,EUR_EAS,EUR_EAS_10,EUR,0.9
HF,EUR_EAS,EUR_EAS_10,EAS,0.1
HF,EUR_EAS,EUR_EAS_10,AFR,0
HF,EUR_EAS,EUR_EAS_10,AMR,0
HF,EUR_EAS,EUR_EAS_11,EUR,1
HF,EUR_EAS,EUR_EAS_11,EAS,0
HF,EUR_EAS,EUR_EAS_11,AFR,0
HF,EUR_EAS,EUR_EAS_11,AMR,0
HF,EUR_AFR,EUR_AFR_01,EUR,0
HF,EUR_AFR,EUR_AFR_01,EAS,0
HF,EUR_AFR,EUR_AFR_01,AFR,1
HF,EUR_AFR,EUR_AFR_01,AMR,0
HF,EUR_AFR,EUR_AFR_02,EUR,0.1
HF,EUR_AFR,EUR_AFR_02,EAS,0
HF,EUR_AFR,EUR_AFR_02,AFR,0.9
HF,EUR_AFR,EUR_AFR_02,AMR,0
HF,EUR_AFR,EUR_AFR_03,EUR,0.2
HF,EUR_AFR,EUR_AFR_03,EAS,0
HF,EUR_AFR,EUR_AFR_03,AFR,0.8
HF,EUR_AFR,EUR_AFR_03,AMR,0
HF,EUR_AFR,EUR_AFR_04,EUR,0.3
HF,EUR_AFR,EUR_AFR_04,EAS,0
HF,EUR_AFR,EUR_AFR_04,AFR,0.7
HF,EUR_AFR,EUR_AFR_04,AMR,0
HF,EUR_AFR,EUR_AFR_05,EUR,0.4
HF,EUR_AFR,EUR_AFR_05,EAS,0
HF,EUR_AFR,EUR_AFR_05,AFR,0.6
HF,EUR_AFR,EUR_AFR_05,AMR,0
HF,EUR_AFR,EUR_AFR_06,EUR,0.5
HF,EUR_AFR,EUR_AFR_06,EAS,0
HF,EUR_AFR,EUR_AFR_06,AFR,0.5
HF,EUR_AFR,EUR_AFR_06,AMR,0
HF,EUR_AFR,EUR_AFR_07,EUR,0.6
HF,EUR_AFR,EUR_AFR_07,EAS,0
HF,EUR_AFR,EUR_AFR_07,AFR,0.4
HF,EUR_AFR,EUR_AFR_07,AMR,0
HF,EUR_AFR,EUR_AFR_08,EUR,0.7
HF,EUR_AFR,EUR_AFR_08,EAS,0
HF,EUR_AFR,EUR_AFR_08,AFR,0.3
HF,EUR_AFR,EUR_AFR_08,AMR,0
HF,EUR_AFR,EUR_AFR_09,EUR,0.8
HF,EUR_AFR,EUR_AFR_09,EAS,0
HF,EUR_AFR,EUR_AFR_09,AFR,0.2
HF,EUR_AFR,EUR_AFR_09,AMR,0
HF,EUR_AFR,EUR_AFR_10,EUR,0.9
HF,EUR_AFR,EUR_AFR_10,EAS,0
HF,EUR_AFR,EUR_AFR_10,AFR,0.1
HF,EUR_AFR,EUR_AFR_10,AMR,0
HF,EUR_AFR,EUR_AFR_11,EUR,1
HF,EUR_AFR,EUR_AFR_11,EAS,0
HF,EUR_AFR,EUR_AFR_11,AFR,0
HF,EUR_AFR,EUR_AFR_11,AMR,0
HF,multi,equal,EUR,0.25
HF,multi,equal,EAS,0.25
HF,multi,equal,AFR,0.25
HF,multi,equal,AMR,0.25
HF,multi,reported,EUR,0.770750280598025
HF,multi,reported,EAS,0.194815847632629
HF,multi,reported,AFR,0.0235672128572054
HF,multi,reported,AMR,0.0108666589121407
HF,multi,w50rest,EUR,0.5
HF,multi,w50rest,EAS,0.166666666666667
HF,multi,w50rest,AFR,0.166666666666667
HF,multi,w50rest,AMR,0.166666666666667
HF,multi,w25rest,EUR,0.25
HF,multi,w25rest,EAS,0.25
HF,multi,w25rest,AFR,0.25
HF,multi,w25rest,AMR,0.25
IPF,EUR_EAS,EUR_EAS_01,EUR,0
IPF,EUR_EAS,EUR_EAS_01,EAS,1
IPF,EUR_EAS,EUR_EAS_01,AFR,0
IPF,EUR_EAS,EUR_EAS_01,AMR,0
IPF,EUR_EAS,EUR_EAS_02,EUR,0.1
IPF,EUR_EAS,EUR_EAS_02,EAS,0.9
IPF,EUR_EAS,EUR_EAS_02,AFR,0
IPF,EUR_EAS,EUR_EAS_02,AMR,0
IPF,EUR_EAS,EUR_EAS_03,EUR,0.2
IPF,EUR_EAS,EUR_EAS_03,EAS,0.8
IPF,EUR_EAS,EUR_EAS_03,AFR,0
IPF,EUR_EAS,EUR_EAS_03,AMR,0
IPF,EUR_EAS,EUR_EAS_04,EUR,0.3
IPF,EUR_EAS,EUR_EAS_04,EAS,0.7
IPF,EUR_EAS,EUR_EAS_04,AFR,0
IPF,EUR_EAS,EUR_EAS_04,AMR,0
IPF,EUR_EAS,EUR_EAS_05,EUR,0.4
IPF,EUR_EAS,EUR_EAS_05,EAS,0.6
IPF,EUR_EAS,EUR_EAS_05,AFR,0
IPF,EUR_EAS,EUR_EAS_05,AMR,0
IPF,EUR_EAS,EUR_EAS_06,EUR,0.5
IPF,EUR_EAS,EUR_EAS_06,EAS,0.5
IPF,EUR_EAS,EUR_EAS_06,AFR,0
IPF,EUR_EAS,EUR_EAS_06,AMR,0
IPF,EUR_EAS,EUR_EAS_07,EUR,0.6
IPF,EUR_EAS,EUR_EAS_07,EAS,0.4
IPF,EUR_EAS,EUR_EAS_07,AFR,0
IPF,EUR_EAS,EUR_EAS_07,AMR,0
IPF,EUR_EAS,EUR_EAS_08,EUR,0.7
IPF,EUR_EAS,EUR_EAS_08,EAS,0.3
IPF,EUR_EAS,EUR_EAS_08,AFR,0
IPF,EUR_EAS,EUR_EAS_08,AMR,0
IPF,EUR_EAS,EUR_EAS_09,EUR,0.8
IPF,EUR_EAS,EUR_EAS_09,EAS,0.2
IPF,EUR_EAS,EUR_EAS_09,AFR,0
IPF,EUR_EAS,EUR_EAS_09,AMR,0
IPF,EUR_EAS,EUR_EAS_10,EUR,0.9
IPF,EUR_EAS,EUR_EAS_10,EAS,0.1
IPF,EUR_EAS,EUR_EAS_10,AFR,0
IPF,EUR_EAS,EUR_EAS_10,AMR,0
IPF,EUR_EAS,EUR_EAS_11,EUR,1
IPF,EUR_EAS,EUR_EAS_11,EAS,0
IPF,EUR_EAS,EUR_EAS_11,AFR,0
IPF,EUR_EAS,EUR_EAS_11,AMR,0
IPF,EUR_AFR,EUR_AFR_01,EUR,0
IPF,EUR_AFR,EUR_AFR_01,EAS,0
IPF,EUR_AFR,EUR_AFR_01,AFR,1
IPF,EUR_AFR,EUR_AFR_01,AMR,0
IPF,EUR_AFR,EUR_AFR_02,EUR,0.1
IPF,EUR_AFR,EUR_AFR_02,EAS,0
IPF,EUR_AFR,EUR_AFR_02,AFR,0.9
IPF,EUR_AFR,EUR_AFR_02,AMR,0
IPF,EUR_AFR,EUR_AFR_03,EUR,0.2
IPF,EUR_AFR,EUR_AFR_03,EAS,0
IPF,EUR_AFR,EUR_AFR_03,AFR,0.8
IPF,EUR_AFR,EUR_AFR_03,AMR,0
IPF,EUR_AFR,EUR_AFR_04,EUR,0.3
IPF,EUR_AFR,EUR_AFR_04,EAS,0
IPF,EUR_AFR,EUR_AFR_04,AFR,0.7
