gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.4,0.146317687656206,0.0355344654916783,4.2390043524457e-05,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.5,0.143818849638366,0.0355476261806916,5.73663868916088e-05,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_1,0.142117982211214,0.0355564517829944,7.02859480206009e-05,777
CSA,EAS,yengo_csa_ldeas,dbslmm,yengo_csa_ldeas_DBSLMM_0.8,0.243367779729223,0.0348410607554838,6.13254930042829e-12,777
CSA,EAS,yengo_csa_ldeas,dbslmm,yengo_csa_ldeas_DBSLMM_1,0.244923345265473,0.0348269927747739,4.45710893305819e-12,777
CSA,EAS,yengo_csa_ldeas,dbslmm,yengo_csa_ldeas_DBSLMM_1.2,0.244437606851974,0.0348313958553798,4.92528733881027e-12,777
CSA,EAS,yengo_csa_ldeas,quickprs,yengo_csa_ldeas_quickprs,0.143718927250042,0.0355481476301594,5.8058670063786e-05,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_5e-08,0.20532927730488,0.0351556885293984,7.65279790528595e-09,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_1e-06,0.174277428185615,0.0353713457572288,1.02091446256791e-06,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_1e-04,0.212758490034225,0.0350986411816452,2.1017259363827e-09,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.01,0.186975702665567,0.0352875759295556,1.52206579257911e-07,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.1,0.178794615321545,0.0353422434896262,5.26759421911002e-07,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.2,0.161392700512718,0.0354501448419847,6.14885480669662e-06,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.3,0.162639605213951,0.0354427909557096,5.19867605844143e-06,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.4,0.142065772671142,0.0355567209968188,7.07229824705065e-05,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.5,0.147678838899437,0.0355271992221374,3.58747977248198e-05,777
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_1,0.147790480924231,0.0355266001886671,3.53848039454116e-05,777
CSA,CSA,yengo_csa_ldcsa,dbslmm,yengo_csa_ldcsa_DBSLMM_0.8,0.239037260187756,0.0348797230723309,1.47370545709359e-11,777
CSA,CSA,yengo_csa_ldcsa,dbslmm,yengo_csa_ldcsa_DBSLMM_1,0.239674622341229,0.0348740790218196,1.29668275052813e-11,777
CSA,CSA,yengo_csa_ldcsa,dbslmm,yengo_csa_ldcsa_DBSLMM_1.2,0.23863124725759,0.0348833101387355,1.59856760127412e-11,777
CSA,CSA,yengo_csa_ldcsa,quickprs,yengo_csa_ldcsa_quickprs,0.26151102259477,0.0346710250890342,1.29104287167522e-13,777
CSA,AMR,yengo_csa_ldamr,ptclump,yengo_csa_ldamr_0_5e-08,0.19594650033957,0.0352247158280563,3.65773545944919e-08,777
CSA,AMR,yengo_csa_ldamr,ptclump,yengo_csa_ldamr_0_1e-06,0.168377521935881,0.0354082004372184,2.36243521190586e-06,777
CSA,AMR,yengo_csa_ldamr,ptclump,yengo_csa_ldamr_0_1e-04,0.211071887901096,0.0351117783406425,2.8301684146747e-09,777
