trait,delta,candidate,mean,sd,lo95,hi95,source
VTE,0.01,MELD_lambda1_afproj,0.876668254652374,0.0101766607119754,0.855031052925265,0.894356234013092,R9_UKB
VTE,0.01,EUR,0.859352064303356,0.0110613223279938,0.836156443256549,0.878696390608866,R9_UKB
VTE,0.01,EAS,0.77185868497625,0.0136573382663511,0.744733716236625,0.798164493666648,R9_UKB
VTE,0.01,AFR,0.744101151158061,0.0172772211997473,0.708640398141483,0.775944286810958,R9_UKB
VTE,0.01,CSA,0.833020671648064,0.0122771642917166,0.807591222998526,0.855518613774651,R9_UKB
VTE,0.01,AMR,0.841180759648925,0.0123338242537689,0.815908806838603,0.86346493901882,R9_UKB
VTE,0.01,MID,0.846845134846449,0.0111435726033546,0.823548870701051,0.86813618489415,R9_UKB
Asthma,0.01,MELD_lambda0_afproj,0.907456103727787,0.00944787309747349,0.888188829323581,0.92485642850344,R8_1KG_on_R9blocks
Asthma,0.01,MELD_lambda0_reportN,0.907828847085522,0.00917135446220952,0.889043814262616,0.924781052318427,R8_1KG_on_R9blocks
Asthma,0.01,MELD_lambda0_equal,0.892490920914761,0.0101637215663748,0.871033112239129,0.911356502694048,R8_1KG_on_R9blocks
Asthma,0.01,MELD_lambda1_afproj,0.905909755462557,0.00920129813909113,0.887212049268106,0.922924392292684,R8_1KG_on_R9blocks
Asthma,0.01,EUR,0.890599557879106,0.0101722833769664,0.870058150869889,0.910355843314127,R8_1KG_on_R9blocks
Asthma,0.01,EAS,0.765926767015439,0.0176622731570861,0.730865332530451,0.800817243832031,R8_1KG_on_R9blocks
Asthma,0.01,AFR,0.683086673852494,0.0215056102575995,0.642207505040409,0.725985270092631,R8_1KG_on_R9blocks
Asthma,0.01,CSA,0.850416210667302,0.0140192492611009,0.820256618627824,0.876611324309503,R8_1KG_on_R9blocks
Asthma,0.01,AMR,0.833247648958426,0.0153612166062914,0.803373507011728,0.862804389243675,R8_1KG_on_R9blocks
COPD,0.01,MELD_lambda0_afproj,0.88494766081636,0.0114891334060729,0.860410572237376,0.905950283426141,R8_1KG_on_R9blocks
COPD,0.01,MELD_lambda0_reportN,0.884492153446357,0.0115483632071235,0.860701331387293,0.905823898690297,R8_1KG_on_R9blocks
COPD,0.01,MELD_lambda0_equal,0.874435166961101,0.0114397239509375,0.851459964589334,0.895771639196909,R8_1KG_on_R9blocks
