chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,9,corrected,0.5,3,244,0.155268730328729,0.509780705761497,0.867037724163733,0.873926057673904,0.00688833351017115
22,9,corrected,0.25,1,245,0.00044653020632978,0.0584697838345865,0.759248696808135,0.763002611061925,0.00375391425378957
22,9,corrected,0.25,2,244,0.0584697838345865,0.155268730328729,0.720535235010233,0.71745506480918,-0.003080170201053
22,9,corrected,0.25,3,244,0.155268730328729,0.509780705761497,0.814868012112632,0.825016001253866,0.0101479891412335
22,10,original,0.75,1,230,0.000243705193215621,0.0776038934545666,0.954843733130059,0.954290269551683,-0.000553463578375379
22,10,original,0.75,2,229,0.0776038934545666,0.18357816637155,0.96558155454971,0.966855279054723,0.00127372450501373
22,10,original,0.75,3,230,0.18357816637155,0.506272949816402,0.985178259217792,0.984519460549883,-0.000658798667908078
22,10,original,0.5,1,230,0.000243705193215621,0.0776038934545666,0.913215745059028,0.912643000583063,-0.000572744475964782
22,10,original,0.5,2,229,0.0776038934545666,0.18357816637155,0.949266843797443,0.95181902288525,0.00255217908780758
22,10,original,0.5,3,230,0.18357816637155,0.506272949816402,0.962484340210321,0.960817147878233,-0.00166719233208767
22,10,original,0.25,1,230,0.000243705193215621,0.0776038934545666,0.866133896923993,0.866352379539885,0.000218482615891635
22,10,original,0.25,2,229,0.0776038934545666,0.18357816637155,0.934009161532227,0.936938608285622,0.00292944675339502
22,10,original,0.25,3,230,0.18357816637155,0.506272949816402,0.932505286584136,0.933098150250042,0.000592863665906385
22,10,corrected,0.75,1,230,0.000204468657107909,0.0651096666083814,0.954604348568679,0.954055734254025,-0.000548614314654583
22,10,corrected,0.75,2,229,0.0651096666083814,0.15402208158573,0.964036218573969,0.964831771450038,0.000795552876068917
22,10,corrected,0.75,3,230,0.15402208158573,0.424763004895961,0.985365941187734,0.985268228813378,-9.77123743557406e-05
22,10,corrected,0.5,1,230,0.000204468657107909,0.0651096666083814,0.913486244604084,0.913059910586077,-0.00042633401800718
22,10,corrected,0.5,2,229,0.0651096666083814,0.15402208158573,0.948129101667025,0.949677695520002,0.00154859385297634
22,10,corrected,0.5,3,230,0.15402208158573,0.424763004895961,0.963492209857503,0.962539153703955,-0.000953056153548126
22,10,corrected,0.25,1,230,0.000204468657107909,0.0651096666083814,0.868358613317924,0.868885977688836,0.000527364370912165
22,10,corrected,0.25,2,229,0.0651096666083814,0.15402208158573,0.937505139690563,0.939214433843593,0.00170929415303001
22,10,corrected,0.25,3,230,0.15402208158573,0.424763004895961,0.936163012036765,0.936382011577816,0.00021899954105109
22,11,original,0.75,1,146,0.000530031474033917,0.0746175601163177,0.953306174588638,0.953349794548325,4.36199596872688e-05
22,11,original,0.75,2,145,0.0746175601163177,0.241822579705077,0.906918137918223,0.904556403209584,-0.00236173470863932
22,11,original,0.75,3,146,0.241822579705077,0.545699641545725,0.915701025535569,0.912508904311504,-0.00319212122406498
22,11,original,0.5,1,146,0.000530031474033917,0.0746175601163177,0.868842296077049,0.868754210292579,-8.80857844691718e-05
22,11,original,0.5,2,145,0.0746175601163177,0.241822579705077,0.802543904087887,0.801619387120514,-0.000924516967373057
22,11,original,0.5,3,146,0.241822579705077,0.545699641545725,0.805040678171273,0.830359748585044,0.0253190704137715
22,11,original,0.25,1,146,0.000530031474033917,0.0746175601163177,0.743877508269696,0.744226007474987,0.000348499205291564
22,11,original,0.25,2,145,0.0746175601163177,0.241822579705077,0.740231264326661,0.738759981956785,-0.00147128236987526
22,11,original,0.25,3,146,0.241822579705077,0.545699641545725,0.862044695460902,0.880001712514246,0.0179570170533437
22,11,corrected,0.75,1,146,0.000444696406714455,0.0626041329375905,0.952475586788804,0.95261262278832,0.000137035999515533
22,11,corrected,0.75,2,145,0.0626041329375905,0.202889144372559,0.906979551367699,0.904767958515628,-0.0022115928520704
