trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
COPD,EUR_EAS,EUR_EAS_10,EUR,0.0185376039026146,0.0111100928464381,0.0270638326606979,1.21951219512195,0.0127652387355144
COPD,EUR_EAS,EUR_EAS_11,EUR,-8.4579240294305e-16,-2.90431557874127e-15,1.18547702894496e-15,1,0
COPD,multi,equal,EUR,0.128667832817635,0.108274051858651,0.145422065097667,4,0.0475973432402072
COPD,multi,reported,EUR,0.0363159818815731,0.0250350903970877,0.047186722731317,1.70470568386948,0.0288801596455938
COPD,multi,w25rest,EUR,0.1200332828177,0.103795040472988,0.135276018170132,4,0.0475973432402072
COPD,multi,w50rest,EUR,0.0854958859367664,0.0683021490282146,0.104109732163449,3,0.0388880615794235
Gout,EUR_AFR,EUR_AFR_01,AFR,-2.3017431803746e-05,-7.26182440699741e-05,2.54561998027343e-10,1,0
Gout,EUR_AFR,EUR_AFR_02,AFR,0.0807747814620001,0.0640274487522523,0.0990017179806015,1.21951219512195,0.013619902965045
Gout,EUR_AFR,EUR_AFR_03,AFR,0.102386203111175,0.0819403836192583,0.121109441842176,1.47058823529412,0.0242131608267466
Gout,EUR_AFR,EUR_AFR_04,AFR,0.118354519007987,0.0917971648655707,0.14456606414557,1.72413793103448,0.0317797735851049
Gout,EUR_AFR,EUR_AFR_05,AFR,0.151713910658711,0.12073545857861,0.18115404980027,1.92307692307692,0.0363197412401199
Gout,EUR_AFR,EUR_AFR_06,EUR,0.149629002406837,0.122868795302506,0.177352929767671,2,0.0378330637917916
Gout,EUR_AFR,EUR_AFR_07,EUR,0.108192267540086,0.0843259788269537,0.1297120408593,1.92307692307692,0.0363197412401199
Gout,EUR_AFR,EUR_AFR_08,EUR,0.080304449049463,0.058341091698943,0.106448051559529,1.72413793103448,0.0317797735851049
Gout,EUR_AFR,EUR_AFR_09,EUR,0.0698790419629784,0.0523362288451321,0.0887103318934036,1.47058823529412,0.0242131608267466
Gout,EUR_AFR,EUR_AFR_10,EUR,0.0428137965598512,0.0299000584485092,0.0547251962582159,1.21951219512195,0.013619902965045
Gout,EUR_AFR,EUR_AFR_11,EUR,-2.16892230540147e-16,-1.53903696356415e-15,1.01910523287793e-15,1,0
Gout,EUR_EAS,EUR_EAS_01,EAS,-6.88561797391647e-17,-1.75531774901418e-15,1.73821049735792e-15,1,0
Gout,EUR_EAS,EUR_EAS_02,EAS,0.0296926136312136,0.0186524072642808,0.0414751531604327,1.21951219512195,0.0127347981578483
Gout,EUR_EAS,EUR_EAS_03,EAS,0.0502701691027253,0.0374135736303604,0.0615892611874212,1.47058823529412,0.0226396411695081
Gout,EUR_EAS,EUR_EAS_04,EAS,0.0515372302442802,0.0404345267874742,0.0631386426503818,1.72413793103448,0.0297145290349794
Gout,EUR_EAS,EUR_EAS_05,EAS,0.0612879972292161,0.0447821489135972,0.0786292703677508,1.92307692307692,0.0339594617542622
Gout,EUR_EAS,EUR_EAS_06,EUR,0.0792940402615402,0.0654900499402538,0.0941783216944455,2,0.0353744393273564
Gout,EUR_EAS,EUR_EAS_07,EUR,0.0603485955366587,0.0487185391288058,0.0715167206242564,1.92307692307692,0.0339594617542622
