chr,block_id,m,afr_treatment,w_eur,perm,r2
22,12,1159,corrected,0.25,0,0.734907081055802
22,12,1159,corrected,0.25,-1,0.744067385357964
22,13,618,original,0.75,1,0.940725891123834
22,13,618,original,0.75,2,0.9424262137185
22,13,618,original,0.75,3,0.929313975460335
22,13,618,original,0.75,4,0.934998985590699
22,13,618,original,0.75,5,0.940403140202908
22,13,618,original,0.75,6,0.930848160623305
22,13,618,original,0.75,7,0.942870322988596
22,13,618,original,0.75,8,0.946515939766256
22,13,618,original,0.75,0,0.944298578661792
22,13,618,original,0.75,-1,0.938758194356206
22,13,618,original,0.5,1,0.921979765922595
22,13,618,original,0.5,2,0.928818452810195
22,13,618,original,0.5,3,0.909742883414256
22,13,618,original,0.5,4,0.912858000827542
22,13,618,original,0.5,5,0.920111530200444
22,13,618,original,0.5,6,0.913059468212137
22,13,618,original,0.5,7,0.917526523892419
22,13,618,original,0.5,8,0.925904802337198
22,13,618,original,0.5,0,0.92321843585672
22,13,618,original,0.5,-1,0.919829597463571
22,13,618,original,0.25,1,0.917732824584532
22,13,618,original,0.25,2,0.922872668845522
22,13,618,original,0.25,3,0.907399374573743
22,13,618,original,0.25,4,0.908547255615099
22,13,618,original,0.25,5,0.914131610249715
22,13,618,original,0.25,6,0.909443539374341
22,13,618,original,0.25,7,0.909091904421871
22,13,618,original,0.25,8,0.915906108572534
22,13,618,original,0.25,0,0.909904020192064
22,13,618,original,0.25,-1,0.913540047110619
22,13,618,corrected,0.75,1,0.940816240209801
22,13,618,corrected,0.75,2,0.939918349299931
22,13,618,corrected,0.75,3,0.944659262069118
22,13,618,corrected,0.75,4,0.942524001876901
22,13,618,corrected,0.75,5,0.935125554935618
22,13,618,corrected,0.75,6,0.939932479600746
22,13,618,corrected,0.75,7,0.940300278101974
22,13,618,corrected,0.75,8,0.94127330243232
22,13,618,corrected,0.75,0,0.943450700990436
22,13,618,corrected,0.75,-1,0.939946239203158
22,13,618,corrected,0.5,1,0.918632403389106
22,13,618,corrected,0.5,2,0.922125095683053
22,13,618,corrected,0.5,3,0.927097499138149
22,13,618,corrected,0.5,4,0.925436488975113
22,13,618,corrected,0.5,5,0.914703503640201
22,13,618,corrected,0.5,6,0.920973372124976
22,13,618,corrected,0.5,7,0.922840105029957
22,13,618,corrected,0.5,8,0.925163707227707
22,13,618,corrected,0.5,0,0.924351344894541
22,13,618,corrected,0.5,-1,0.922253273953612
22,13,618,corrected,0.25,1,0.914943751433248
22,13,618,corrected,0.25,2,0.917623042946667
22,13,618,corrected,0.25,3,0.921129732165278
22,13,618,corrected,0.25,4,0.9188241588257
22,13,618,corrected,0.25,5,0.912455763042413
22,13,618,corrected,0.25,6,0.915712369422452
22,13,618,corrected,0.25,7,0.917172131347447
22,13,618,corrected,0.25,8,0.921808031817725
22,13,618,corrected,0.25,0,0.915881237597014
22,13,618,corrected,0.25,-1,0.917806582693209
22,14,1069,original,0.75,1,0.884171744671469
22,14,1069,original,0.75,2,0.893902582452696
22,14,1069,original,0.75,3,0.903497801505419
22,14,1069,original,0.75,4,0.911865352385651
22,14,1069,original,0.75,5,0.893799046603183
22,14,1069,original,0.75,6,0.892631250690764
22,14,1069,original,0.75,7,0.898905580505024
22,14,1069,original,0.75,8,0.901565527548579
22,14,1069,original,0.75,0,0.912340592933148
22,14,1069,original,0.75,-1,0.91264350494964
22,14,1069,original,0.5,1,0.751253769524334
22,14,1069,original,0.5,2,0.77037051117589
22,14,1069,original,0.5,3,0.789672379982365
22,14,1069,original,0.5,4,0.801946847116193
22,14,1069,original,0.5,5,0.769325749980453
22,14,1069,original,0.5,6,0.775769288332618
22,14,1069,original,0.5,7,0.76669773539831
22,14,1069,original,0.5,8,0.776620140914411
22,14,1069,original,0.5,0,0.778255429356922
22,14,1069,original,0.5,-1,0.799599630866464
22,14,1069,original,0.25,1,0.655527128546825
22,14,1069,original,0.25,2,0.675063248719486
22,14,1069,original,0.25,3,0.688868062642539
22,14,1069,original,0.25,4,0.693732808774288
22,14,1069,original,0.25,5,0.669585046121555
22,14,1069,original,0.25,6,0.676736295877778
22,14,1069,original,0.25,7,0.669522055105552
22,14,1069,original,0.25,8,0.681990170425683
22,14,1069,original,0.25,0,0.655386924082951
22,14,1069,original,0.25,-1,0.690120483254982
22,14,1069,corrected,0.75,1,0.90042992836209
22,14,1069,corrected,0.75,2,0.909782784015865
22,14,1069,corrected,0.75,3,0.901297573737486
22,14,1069,corrected,0.75,4,0.89619821515618
