chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,2,0.5,2,103,0.093218875677566,0.191894450621429,0.001,0.316104894798825,0.445823856345108,0.129718961546283
22,2,0.5,2,103,0.093218875677566,0.191894450621429,0.01,0.334684405545249,0.455678009968801,0.120993604423552
22,2,0.5,2,103,0.093218875677566,0.191894450621429,0.1,0.342942304711382,0.433442525028181,0.0905002203167991
22,2,0.5,3,103,0.191894450621429,0.601345296380486,0.001,0.844555314973396,0.793828112654397,-0.0507272023189989
22,2,0.5,3,103,0.191894450621429,0.601345296380486,0.01,0.829736761446572,0.786016817391234,-0.0437199440553372
22,2,0.5,3,103,0.191894450621429,0.601345296380486,0.1,0.822567310447672,0.779471881475397,-0.0430954289722748
22,2,0.25,1,104,0.00040277388624263,0.093218875677566,0.001,0.171148183482259,0.170569763009865,-0.000578420472394425
22,2,0.25,1,104,0.00040277388624263,0.093218875677566,0.01,0.22654041583831,0.211640682607083,-0.0148997332312263
22,2,0.25,1,104,0.00040277388624263,0.093218875677566,0.1,0.242079343601044,0.219417035058738,-0.0226623085423056
22,2,0.25,2,103,0.093218875677566,0.191894450621429,0.001,0.320720179937548,0.433662785852488,0.112942605914941
22,2,0.25,2,103,0.093218875677566,0.191894450621429,0.01,0.329129922429626,0.43626429795146,0.107134375521834
22,2,0.25,2,103,0.093218875677566,0.191894450621429,0.1,0.344114455117319,0.433947936688732,0.0898334815714133
22,2,0.25,3,103,0.191894450621429,0.601345296380486,0.001,0.806500506036258,0.768529200102486,-0.0379713059337715
22,2,0.25,3,103,0.191894450621429,0.601345296380486,0.01,0.791448838459275,0.757345089957313,-0.0341037485019619
22,2,0.25,3,103,0.191894450621429,0.601345296380486,0.1,0.784554950625072,0.74830613024114,-0.036248820383932
22,3,0.75,1,239,0.000107296137339064,0.0862006032523168,0.001,0.914846655540828,0.907227999011562,-0.0076186565292663
