chr,block_id,m,label,kind,r2
22,21,572,scramble_swap_EUR_AFR,wrong_weight,0.799058583566216
22,21,572,scramble_cyclic,wrong_weight,0.877433770663376
22,21,572,sweep_wEUR_0.00,sweep,0.873594894775274
22,21,572,sweep_wEUR_0.10,sweep,0.917849679071573
22,21,572,sweep_wEUR_0.20,sweep,0.937350429941734
22,21,572,sweep_wEUR_0.30,sweep,0.950031569000438
22,21,572,sweep_wEUR_0.40,sweep,0.958870234062865
22,21,572,sweep_wEUR_0.50,sweep,0.964855436132199
22,21,572,sweep_wEUR_0.60,sweep,0.968475340540632
22,21,572,sweep_wEUR_0.70,sweep,0.970052335199615
22,21,572,sweep_wEUR_0.80,sweep,0.969884494298971
22,21,572,sweep_wEUR_0.90,sweep,0.968239763679624
22,21,572,sweep_wEUR_1.00,sweep,0.95002147835679
22,22,875,EUR_baseline,single_pop,0.834711553344443
22,22,875,paperN,true_weights,0.904553251480137
22,22,875,afproj,true_weights,0.90348095352428
22,22,875,equal,wrong_weight,0.890583281041498
22,22,875,scramble_swap_EUR_AFR,wrong_weight,0.773293064103503
22,22,875,scramble_cyclic,wrong_weight,0.827862334029607
22,22,875,sweep_wEUR_0.00,sweep,0.833623574144585
22,22,875,sweep_wEUR_0.10,sweep,0.866996019245668
22,22,875,sweep_wEUR_0.20,sweep,0.881606103535617
22,22,875,sweep_wEUR_0.30,sweep,0.890814285148398
22,22,875,sweep_wEUR_0.40,sweep,0.897116192969493
22,22,875,sweep_wEUR_0.50,sweep,0.901611574954069
22,22,875,sweep_wEUR_0.60,sweep,0.904568403611676
22,22,875,sweep_wEUR_0.70,sweep,0.905212494154917
22,22,875,sweep_wEUR_0.80,sweep,0.902654997647496
22,22,875,sweep_wEUR_0.90,sweep,0.8941873221365
22,22,875,sweep_wEUR_1.00,sweep,0.83471155363319
22,23,712,EUR_baseline,single_pop,0.841090106332337
22,23,712,paperN,true_weights,0.904162198379187
22,23,712,afproj,true_weights,0.901667422317098
22,23,712,equal,wrong_weight,0.885462792400378
22,23,712,scramble_swap_EUR_AFR,wrong_weight,0.713240207401823
22,23,712,scramble_cyclic,wrong_weight,0.802920446106804
22,23,712,sweep_wEUR_0.00,sweep,0.820482948740824
22,23,712,sweep_wEUR_0.10,sweep,0.851533947322361
22,23,712,sweep_wEUR_0.20,sweep,0.869143495307483
22,23,712,sweep_wEUR_0.30,sweep,0.881976793119515
22,23,712,sweep_wEUR_0.40,sweep,0.891921878151567
22,23,712,sweep_wEUR_0.50,sweep,0.899467028912608
22,23,712,sweep_wEUR_0.60,sweep,0.90307059448345
22,23,712,sweep_wEUR_0.70,sweep,0.903617230885332
22,23,712,sweep_wEUR_0.80,sweep,0.900771600614408
22,23,712,sweep_wEUR_0.90,sweep,0.892282223148596
22,23,712,sweep_wEUR_1.00,sweep,0.841090106332337
22,24,552,EUR_baseline,single_pop,0.922150628377522
22,24,552,paperN,true_weights,0.95303448668686
22,24,552,afproj,true_weights,0.953174043632866
22,24,552,equal,wrong_weight,0.937305298052468
22,24,552,scramble_swap_EUR_AFR,wrong_weight,0.835940095881779
22,24,552,scramble_cyclic,wrong_weight,0.899856183595201
22,24,552,sweep_wEUR_0.00,sweep,0.905253891052929
22,24,552,sweep_wEUR_0.10,sweep,0.926083354541693
22,24,552,sweep_wEUR_0.20,sweep,0.93514290381078
22,24,552,sweep_wEUR_0.30,sweep,0.941214897384152
22,24,552,sweep_wEUR_0.40,sweep,0.945708349092267
22,24,552,sweep_wEUR_0.50,sweep,0.949101848012288
22,24,552,sweep_wEUR_0.60,sweep,0.951559635945113
22,24,552,sweep_wEUR_0.70,sweep,0.953014085202573
22,24,552,sweep_wEUR_0.80,sweep,0.953008162335312
22,24,552,sweep_wEUR_0.90,sweep,0.949809709050774
22,24,552,sweep_wEUR_1.00,sweep,0.922150628377523
