trait,chr,block_id,candidate,delta,r2,m
Asthma,22,13,MELD_lambda0_afproj,0.001,0.959977623295085,510
Asthma,22,13,MELD_lambda0_reportN,0.001,0.959857150499014,510
Asthma,22,13,MELD_lambda0_equal,0.001,0.948873555106199,510
Asthma,22,13,MELD_lambda1_afproj,0.001,0.959425362997599,510
Asthma,22,13,EUR,0.001,0.948152593741955,510
Asthma,22,13,EAS,0.001,0.796836725044016,510
Asthma,22,13,AFR,0.001,0.729537179635512,510
Asthma,22,13,CSA,0.001,0.897543731564037,510
Asthma,22,13,AMR,0.001,0.915650414543929,510
Asthma,22,13,MELD_lambda0_afproj,0.01,0.969130979286801,510
Asthma,22,13,MELD_lambda0_reportN,0.01,0.968842340021737,510
Asthma,22,13,MELD_lambda0_equal,0.01,0.96364497739039,510
Asthma,22,13,MELD_lambda1_afproj,0.01,0.969139895625575,510
Asthma,22,13,EUR,0.01,0.954284812336524,510
Asthma,22,13,EAS,0.01,0.902444919217018,510
Asthma,22,13,AFR,0.01,0.863686668225716,510
Asthma,22,13,CSA,0.01,0.922379564227963,510
Asthma,22,13,AMR,0.01,0.941683757485902,510
Asthma,22,13,MELD_lambda0_afproj,0.1,0.960217934333973,510
Asthma,22,13,MELD_lambda0_reportN,0.1,0.960246757661205,510
Asthma,22,13,MELD_lambda0_equal,0.1,0.954683885782263,510
Asthma,22,13,MELD_lambda1_afproj,0.1,0.959896087631781,510
Asthma,22,13,EUR,0.1,0.951775210882773,510
Asthma,22,13,EAS,0.1,0.892038324116544,510
Asthma,22,13,AFR,0.1,0.891820310317757,510
Asthma,22,13,CSA,0.1,0.923908289049565,510
Asthma,22,13,AMR,0.1,0.930004092488931,510
Asthma,22,14,MELD_lambda0_afproj,0.001,0.878116356610578,706
Asthma,22,14,MELD_lambda0_reportN,0.001,0.882360464309742,706
Asthma,22,14,MELD_lambda0_equal,0.001,0.90184641546674,706
Asthma,22,14,MELD_lambda1_afproj,0.001,0.885865213066903,706
Asthma,22,14,EUR,0.001,0.776823438608588,706
Asthma,22,14,EAS,0.001,0.604786156130249,706
Asthma,22,14,AFR,0.001,0.4534180689026,706
Asthma,22,14,CSA,0.001,0.738325352076255,706
Asthma,22,14,AMR,0.001,0.74927243696805,706
Asthma,22,14,MELD_lambda0_afproj,0.01,0.921071485468797,706
Asthma,22,14,MELD_lambda0_reportN,0.01,0.92123079098463,706
Asthma,22,14,MELD_lambda0_equal,0.01,0.913179601513873,706
Asthma,22,14,MELD_lambda1_afproj,0.01,0.921443286283609,706
Asthma,22,14,EUR,0.01,0.897592164354031,706
Asthma,22,14,EAS,0.01,0.776138963784374,706
Asthma,22,14,AFR,0.01,0.575127236655422,706
Asthma,22,14,CSA,0.01,0.872191063760433,706
Asthma,22,14,AMR,0.01,0.807682352953616,706
Asthma,22,14,MELD_lambda0_afproj,0.1,0.928846581139516,706
Asthma,22,14,MELD_lambda0_reportN,0.1,0.928979146705442,706
Asthma,22,14,MELD_lambda0_equal,0.1,0.919958614146405,706
Asthma,22,14,MELD_lambda1_afproj,0.1,0.92696088045163,706
Asthma,22,14,EUR,0.1,0.917938268882821,706
Asthma,22,14,EAS,0.1,0.840376204392878,706
Asthma,22,14,AFR,0.1,0.646779630894254,706
Asthma,22,14,CSA,0.1,0.898297110947047,706
Asthma,22,14,AMR,0.1,0.846116001433221,706
Asthma,22,15,MELD_lambda0_afproj,0.001,0.942686046678518,513
Asthma,22,15,MELD_lambda0_reportN,0.001,0.94479514871266,513
Asthma,22,15,MELD_lambda0_equal,0.001,0.916028304922251,513
Asthma,22,15,MELD_lambda1_afproj,0.001,0.948615161393406,513
Asthma,22,15,EUR,0.001,0.925855198276201,513
Asthma,22,15,EAS,0.001,0.741084323014752,513
Asthma,22,15,AFR,0.001,0.690489323454615,513
Asthma,22,15,CSA,0.001,0.848326696875912,513
Asthma,22,15,AMR,0.001,0.857903053841086,513
Asthma,22,15,MELD_lambda0_afproj,0.01,0.972725064264424,513
Asthma,22,15,MELD_lambda0_reportN,0.01,0.972846324589019,513
Asthma,22,15,MELD_lambda0_equal,0.01,0.963168089284369,513
Asthma,22,15,MELD_lambda1_afproj,0.01,0.97289052777896,513
Asthma,22,15,EUR,0.01,0.961221072870478,513
Asthma,22,15,EAS,0.01,0.879112492634502,513
Asthma,22,15,AFR,0.01,0.791401907288835,513
Asthma,22,15,CSA,0.01,0.922505174552279,513
Asthma,22,15,AMR,0.01,0.917467355020295,513
Asthma,22,15,MELD_lambda0_afproj,0.1,0.963491956838378,513
Asthma,22,15,MELD_lambda0_reportN,0.1,0.963954688876506,513
Asthma,22,15,MELD_lambda0_equal,0.1,0.957464103407483,513
Asthma,22,15,MELD_lambda1_afproj,0.1,0.963585231207856,513
Asthma,22,15,EUR,0.1,0.954938843946533,513
Asthma,22,15,EAS,0.1,0.907625546647371,513
Asthma,22,15,AFR,0.1,0.823691687987198,513
Asthma,22,15,CSA,0.1,0.930357893676358,513
Asthma,22,15,AMR,0.1,0.923299049526221,513
Asthma,22,16,MELD_lambda0_afproj,0.001,0.921302147916977,310
Asthma,22,16,MELD_lambda0_reportN,0.001,0.921873232378349,310
Asthma,22,16,MELD_lambda0_equal,0.001,0.923490816517594,310
Asthma,22,16,MELD_lambda1_afproj,0.001,0.917790293637734,310
Asthma,22,16,EUR,0.001,0.894441331017769,310
Asthma,22,16,EAS,0.001,0.695333941015921,310
Asthma,22,16,AFR,0.001,0.711229829058557,310
Asthma,22,16,CSA,0.001,0.810791315467557,310
Asthma,22,16,AMR,0.001,0.866155796585451,310
Asthma,22,16,MELD_lambda0_afproj,0.01,0.926403125502314,310
Asthma,22,16,MELD_lambda0_reportN,0.01,0.926643609694438,310
Asthma,22,16,MELD_lambda0_equal,0.01,0.926027389893532,310
