trait,sweep_kind,sweep_id,eff_groups,mean_B_diag,n_pops_positive,top_pop_weight
VTE,EUR_EAS,EUR_EAS_06,2,0.0378829571287757,2,0.5
VTE,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0363676388436247,2,0.6
VTE,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0318216839881716,2,0.7
VTE,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0242450925624165,2,0.8
VTE,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0136378645663593,2,0.9
VTE,EUR_EAS,EUR_EAS_11,1,0,1,1
VTE,multi,equal,4,0.0500492536139121,4,0.25
VTE,multi,reported,1.27724674589357,0.0153281945038004,4,0.881026062313681
VTE,multi,w25rest,4,0.0500492536139121,4,0.25
VTE,multi,w50rest,3,0.040798711503573,4,0.5
