trait,sweep_kind,sweep_id,delta,candidate,mean,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true,0.812640308483918,0.0175655999988346,0.778083679805533,0.846220297612444
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_equal,0.798551021288194,0.0186170977987859,0.760434032865565,0.833813477136522
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda1_true,0.810161815694526,0.0183462966104178,0.771089283748028,0.843605069655505
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_scrambled,0.776620199032786,0.0210780246385443,0.732879822753288,0.815304651227825
IPF,EUR_AFR,EUR_AFR_07,0.1,EUR,0.681694896240221,0.0192507121381006,0.646710950425594,0.720186755490283
IPF,EUR_AFR,EUR_AFR_07,0.1,EAS,0.606076175906929,0.0204982842522491,0.567755829338766,0.647396913288576
IPF,EUR_AFR,EUR_AFR_07,0.1,AFR,0.724658828035783,0.0224776864953885,0.679274519687826,0.766657576148692
IPF,EUR_AFR,EUR_AFR_07,0.1,AMR,0.679578159610183,0.0245196612884743,0.629231605289246,0.72562058997087
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true,0.789508094564982,0.0177992086623679,0.752874415216201,0.822148183322852
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_equal,0.801594042336222,0.0163403040107382,0.769257742791385,0.832645245716824
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda1_true,0.78353603358716,0.0175710666855303,0.747847684578503,0.817701088500005
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_scrambled,0.703772601131633,0.021861583431626,0.660797575238968,0.747320081445961
IPF,EUR_AFR,EUR_AFR_08,0.001,EUR,0.543228036719708,0.0261870029485025,0.493643002306977,0.596664889029915
IPF,EUR_AFR,EUR_AFR_08,0.001,EAS,0.407786218129094,0.0299027335142969,0.35168066209688,0.46793962530401
IPF,EUR_AFR,EUR_AFR_08,0.001,AFR,0.540773231541065,0.0309948922206066,0.481782370905024,0.604348539483498
IPF,EUR_AFR,EUR_AFR_08,0.001,AMR,0.519563918754095,0.0296634942596883,0.461287337899052,0.578799110677965
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true,0.82421215725878,0.0143528671752714,0.797187492248045,0.853234840997405
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_equal,0.822839587378419,0.0139313827347168,0.795764232394312,0.84977121887952
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda1_true,0.820506837853281,0.0142072569040674,0.793185212458389,0.848823025289344
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_scrambled,0.753817841374783,0.0182073689044433,0.718925250698235,0.790642285427958
IPF,EUR_AFR,EUR_AFR_08,0.01,EUR,0.684971365057627,0.0195675809524073,0.647827778328964,0.725062379645343
IPF,EUR_AFR,EUR_AFR_08,0.01,EAS,0.57633559430586,0.0248804379664761,0.529489032475012,0.629553218407243
IPF,EUR_AFR,EUR_AFR_08,0.01,AFR,0.642169217708795,0.0272233615760159,0.586836090012002,0.694734452925709
IPF,EUR_AFR,EUR_AFR_08,0.01,AMR,0.646252527226478,0.0269001353364795,0.594414676029559,0.700013813583484
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true,0.827498173771626,0.0132232544957551,0.802038483728388,0.85425584297104
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_equal,0.821521527629049,0.0140779063761749,0.794390574947304,0.849888082808727
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda1_true,0.825155707222336,0.0132649098869081,0.799570415420786,0.850526681469931
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_scrambled,0.770977556993511,0.0180698910328983,0.736804881434268,0.806295306505022
IPF,EUR_AFR,EUR_AFR_08,0.1,EUR,0.724348076151136,0.0171744363676808,0.69196095015526,0.758307473515026
IPF,EUR_AFR,EUR_AFR_08,0.1,EAS,0.640155856093698,0.0203470008580435,0.602082040514299,0.682407688590648
IPF,EUR_AFR,EUR_AFR_08,0.1,AFR,0.688249193543708,0.0237709353339945,0.644543502431292,0.732599882138683
IPF,EUR_AFR,EUR_AFR_08,0.1,AMR,0.699027294504239,0.0245003584400726,0.65151187069323,0.74887809022989
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true,0.805950769620504,0.0129105095171082,0.781859524215297,0.832035011407645
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_equal,0.812878985875691,0.0119497922781071,0.78980513033194,0.83812155558753
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda1_true,0.804672058248905,0.0131528462664852,0.779427188026318,0.831448170237027
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_scrambled,0.64714469951721,0.0212772909583086,0.605554365454076,0.689316570275893
IPF,EUR_AFR,EUR_AFR_09,0.001,EUR,0.580859725881946,0.0231213909451201,0.532886606010312,0.623670817644437
IPF,EUR_AFR,EUR_AFR_09,0.001,EAS,0.441223025633634,0.0284034957228214,0.385260441557648,0.494771994174229
IPF,EUR_AFR,EUR_AFR_09,0.001,AFR,0.542523133801558,0.0231966646429078,0.499421433102467,0.588878792494333
IPF,EUR_AFR,EUR_AFR_09,0.001,AMR,0.56460918943797,0.0288690930718798,0.509198291938414,0.621471607236527
IPF,EUR_AFR,EUR_AFR_09,0.01,MELD_lambda0_true,0.840483065604649,0.010732510142797,0.820888686798303,0.862666028811315
IPF,EUR_AFR,EUR_AFR_09,0.01,MELD_lambda0_equal,0.833554937177606,0.011228933478645,0.812624210490291,0.857011935892616
IPF,EUR_AFR,EUR_AFR_09,0.01,MELD_lambda1_true,0.83850128024518,0.0108220440955306,0.818416149915387,0.860543965123505
IPF,EUR_AFR,EUR_AFR_09,0.01,MELD_lambda0_scrambled,0.756256903576566,0.013712047418459,0.73098040792913,0.783696634023259
IPF,EUR_AFR,EUR_AFR_09,0.01,EUR,0.730774465283043,0.0145911096934633,0.702285065456111,0.76103853553554
IPF,EUR_AFR,EUR_AFR_09,0.01,EAS,0.602442860959171,0.0213256613255182,0.561283536415763,0.644017780571554
