chr,block_id,m,w_eur,perm,delta,r2
22,6,480,0.5,3,0.01,0.789473636642924
22,6,480,0.5,3,0.1,0.787497036009653
22,6,480,0.25,3,0.001,0.66086748355595
22,6,480,0.25,3,0.01,0.763933266408506
22,6,480,0.25,3,0.1,0.767220895910988
22,6,480,0.75,4,0.001,0.910026543760981
22,6,480,0.75,4,0.01,0.928566580520565
22,6,480,0.75,4,0.1,0.902621299450176
22,6,480,0.5,4,0.001,0.801375945141194
22,6,480,0.5,4,0.01,0.859157869996715
22,6,480,0.5,4,0.1,0.835723102044013
22,6,480,0.25,4,0.001,0.709237029285694
22,6,480,0.25,4,0.01,0.800399665181926
22,6,480,0.25,4,0.1,0.805528746850063
22,6,480,0.75,5,0.001,0.855919713685051
22,6,480,0.75,5,0.01,0.869025233238401
22,6,480,0.75,5,0.1,0.874701109612177
22,6,480,0.5,5,0.001,0.738884149309243
22,6,480,0.5,5,0.01,0.767809009777454
22,6,480,0.5,5,0.1,0.775002225587227
22,6,480,0.25,5,0.001,0.673576843876971
22,6,480,0.25,5,0.01,0.737980498706353
22,6,480,0.25,5,0.1,0.747146709746414
22,6,480,0.75,6,0.001,0.805793678790428
22,6,480,0.75,6,0.01,0.854095491932653
22,6,480,0.75,6,0.1,0.860827466113217
22,6,480,0.5,6,0.001,0.677808175152106
22,6,480,0.5,6,0.01,0.754973692095651
22,6,480,0.5,6,0.1,0.766353631902019
22,6,480,0.25,6,0.001,0.644957947139238
22,6,480,0.25,6,0.01,0.738770520994135
22,6,480,0.25,6,0.1,0.755027298643176
22,6,480,0.75,7,0.001,0.859311540452449
22,6,480,0.75,7,0.01,0.877876781795732
22,6,480,0.75,7,0.1,0.875975738068414
22,6,480,0.5,7,0.001,0.737066614645047
22,6,480,0.5,7,0.01,0.794008025746059
22,6,480,0.5,7,0.1,0.790471080289145
22,6,480,0.25,7,0.001,0.667303652107192
22,6,480,0.25,7,0.01,0.7706200087873
22,6,480,0.25,7,0.1,0.770533061316347
22,6,480,0.75,8,0.001,0.821123855322101
22,6,480,0.75,8,0.01,0.852292005783812
22,6,480,0.75,8,0.1,0.881765159667378
22,6,480,0.5,8,0.001,0.686966215873636
22,6,480,0.5,8,0.01,0.741959277552015
22,6,480,0.5,8,0.1,0.779833106041219
