candidate,draw,delta,r2,w_eur,chr,block_id,m
MELD_lambda1,1,0.01,0.860489671693079,0.25,22,21,571
MELD_pooled,1,0.01,0.854439300341122,0.25,22,21,571
EUR,1,0.01,0.5806136842569,0.25,22,21,571
EAS,1,0.01,0.418066448477872,0.25,22,21,571
AFR,1,0.01,0.714172810121147,0.25,22,21,571
CSA,1,0.01,0.680907586295596,0.25,22,21,571
AMR,1,0.01,0.542357519992764,0.25,22,21,571
MELD_lambda1,1,0.01,0.853599080976367,0.75,22,22,875
MELD_pooled,1,0.01,0.575585890953441,0.75,22,22,875
EUR,1,0.01,0.662042337368229,0.75,22,22,875
EAS,1,0.01,0.0864999597546564,0.75,22,22,875
AFR,1,0.01,0.604588558415383,0.75,22,22,875
CSA,1,0.01,0.439481363382324,0.75,22,22,875
AMR,1,0.01,0.43601548396466,0.75,22,22,875
MELD_lambda1,1,0.01,0.752737267662771,0.5,22,22,875
MELD_pooled,1,0.01,0.440393902475172,0.5,22,22,875
EUR,1,0.01,0.545463850346302,0.5,22,22,875
EAS,1,0.01,0.16311811511704,0.5,22,22,875
AFR,1,0.01,0.586278995396354,0.5,22,22,875
CSA,1,0.01,0.416314315147336,0.5,22,22,875
AMR,1,0.01,0.410262582981414,0.5,22,22,875
MELD_lambda1,1,0.01,0.720847413448146,0.25,22,22,875
MELD_pooled,1,0.01,0.714428290381761,0.25,22,22,875
EUR,1,0.01,0.498524597387787,0.25,22,22,875
EAS,1,0.01,0.173879248872058,0.25,22,22,875
AFR,1,0.01,0.55213082706812,0.25,22,22,875
CSA,1,0.01,0.411613486425122,0.25,22,22,875
AMR,1,0.01,0.374895110528951,0.25,22,22,875
MELD_lambda1,1,0.01,0.624958052643672,0.75,22,23,712
MELD_pooled,1,0.01,0.555596276453023,0.75,22,23,712
EUR,1,0.01,0.0922959120813353,0.75,22,23,712
EAS,1,0.01,0.246956690091586,0.75,22,23,712
AFR,1,0.01,0.27194079486838,0.75,22,23,712
CSA,1,0.01,0.0138278472376228,0.75,22,23,712
AMR,1,0.01,0.414119077999596,0.75,22,23,712
MELD_lambda1,1,0.01,0.676698632820415,0.5,22,23,712
