chr,block_id,m,w_eur,lambda,delta,r2
22,8,863,0.25,1,0.1,0.825087063401562
22,9,733,0.75,0,0.001,0.896261015269835
22,9,733,0.75,0,0.01,0.936450522531101
22,9,733,0.75,0,0.1,0.938497571804385
22,9,733,0.75,0.25,0.001,0.901622146991919
22,9,733,0.75,0.25,0.01,0.937091161067378
22,9,733,0.75,0.25,0.1,0.937842442731781
22,9,733,0.75,0.5,0.001,0.906000203689702
22,9,733,0.75,0.5,0.01,0.937338802856838
22,9,733,0.75,0.5,0.1,0.937288943921116
22,9,733,0.75,0.75,0.001,0.909163885443135
22,9,733,0.75,0.75,0.01,0.937230541795371
22,9,733,0.75,0.75,0.1,0.936635871405393
22,9,733,0.75,1,0.001,0.9113248491169
22,9,733,0.75,1,0.01,0.936855291073714
22,9,733,0.75,1,0.1,0.935911789336672
22,9,733,0.5,0,0.001,0.786522776520899
22,9,733,0.5,0,0.01,0.889620874978355
22,9,733,0.5,0,0.1,0.911455256520386
22,9,733,0.5,0.25,0.001,0.79561651724137
22,9,733,0.5,0.25,0.01,0.892142830351736
22,9,733,0.5,0.25,0.1,0.911943782589953
22,9,733,0.5,0.5,0.001,0.802903709674567
22,9,733,0.5,0.5,0.01,0.893581412138703
22,9,733,0.5,0.5,0.1,0.911976251353319
22,9,733,0.5,0.75,0.001,0.80800936599567
22,9,733,0.5,0.75,0.01,0.894227640259304
22,9,733,0.5,0.75,0.1,0.911634042049834
22,9,733,0.5,1,0.001,0.811476543252214
22,9,733,0.5,1,0.01,0.894337438861991
22,9,733,0.5,1,0.1,0.911058905660006
22,9,733,0.25,0,0.001,0.617314341416379
22,9,733,0.25,0,0.01,0.799068370087679
22,9,733,0.25,0,0.1,0.868185305722831
22,9,733,0.25,0.25,0.001,0.628477576047961
22,9,733,0.25,0.25,0.01,0.804799564253409
22,9,733,0.25,0.25,0.1,0.871235264153695
22,9,733,0.25,0.5,0.001,0.637754090849623
22,9,733,0.25,0.5,0.01,0.809047583913409
22,9,733,0.25,0.5,0.1,0.873068913256474
22,9,733,0.25,0.75,0.001,0.645368365951287
22,9,733,0.25,0.75,0.01,0.812325468455367
22,9,733,0.25,0.75,0.1,0.874254218260936
22,9,733,0.25,1,0.001,0.651743064941472
22,9,733,0.25,1,0.01,0.814929221463355
22,9,733,0.25,1,0.1,0.875029029048277
22,10,689,0.75,0,0.001,0.964903218329193
22,10,689,0.75,0,0.01,0.981518538308103
22,10,689,0.75,0,0.1,0.982396045266837
22,10,689,0.75,0.25,0.001,0.966828200419287
22,10,689,0.75,0.25,0.01,0.98168789686449
22,10,689,0.75,0.25,0.1,0.982444183760998
22,10,689,0.75,0.5,0.001,0.967593404439467
22,10,689,0.75,0.5,0.01,0.98168959763955
22,10,689,0.75,0.5,0.1,0.982252408572555
22,10,689,0.75,0.75,0.001,0.967757705691183
22,10,689,0.75,0.75,0.01,0.981551157008376
22,10,689,0.75,0.75,0.1,0.981960487251846
22,10,689,0.75,1,0.001,0.967525176561148
22,10,689,0.75,1,0.01,0.981306337188858
22,10,689,0.75,1,0.1,0.981591233844199
22,10,689,0.5,0,0.001,0.914189771279826
22,10,689,0.5,0,0.01,0.947140175902776
22,10,689,0.5,0,0.1,0.956001668746451
22,10,689,0.5,0.25,0.001,0.917385474859032
22,10,689,0.5,0.25,0.01,0.9470430707362
22,10,689,0.5,0.25,0.1,0.956075430449277
22,10,689,0.5,0.5,0.001,0.919606579600551
22,10,689,0.5,0.5,0.01,0.947062014365875
22,10,689,0.5,0.5,0.1,0.956038958728247
22,10,689,0.5,0.75,0.001,0.920911912216697
22,10,689,0.5,0.75,0.01,0.946867776209398
22,10,689,0.5,0.75,0.1,0.955852199227506
22,10,689,0.5,1,0.001,0.921574214440909
22,10,689,0.5,1,0.01,0.946502957036493
22,10,689,0.5,1,0.1,0.95553835998433
22,10,689,0.25,0,0.001,0.853267911937492
22,10,689,0.25,0,0.01,0.907461988873915
22,10,689,0.25,0,0.1,0.924314989420569
22,10,689,0.25,0.25,0.001,0.855627979366096
22,10,689,0.25,0.25,0.01,0.906538657864873
22,10,689,0.25,0.25,0.1,0.923737143304171
22,10,689,0.25,0.5,0.001,0.857831615394168
22,10,689,0.25,0.5,0.01,0.906414477742734
22,10,689,0.25,0.5,0.1,0.923688152297755
22,10,689,0.25,0.75,0.001,0.859547000220894
22,10,689,0.25,0.75,0.01,0.906210070379872
22,10,689,0.25,0.75,0.1,0.923617792838627
22,10,689,0.25,1,0.001,0.860867203063223
22,10,689,0.25,1,0.01,0.905900721283486
22,10,689,0.25,1,0.1,0.923492047843353
22,11,437,0.75,0,0.001,0.949809375351412
22,11,437,0.75,0,0.01,0.919052252144413
22,11,437,0.75,0,0.1,0.894823061971016
22,11,437,0.75,0.25,0.001,0.955528473992443
22,11,437,0.75,0.25,0.01,0.919676663461416
22,11,437,0.75,0.25,0.1,0.894664276966265
22,11,437,0.75,0.5,0.001,0.957001792719438
22,11,437,0.75,0.5,0.01,0.919293778204449
22,11,437,0.75,0.5,0.1,0.894285029990136
22,11,437,0.75,0.75,0.001,0.957714815385685
22,11,437,0.75,0.75,0.01,0.918715820008579
22,11,437,0.75,0.75,0.1,0.893821698366513
22,11,437,0.75,1,0.001,0.957958038225645
22,11,437,0.75,1,0.01,0.918018732348353
22,11,437,0.75,1,0.1,0.893299455404591
22,11,437,0.5,0,0.001,0.945294196947405
22,11,437,0.5,0,0.01,0.933178902268728
22,11,437,0.5,0,0.1,0.904659493081283
22,11,437,0.5,0.25,0.001,0.94640900684664
22,11,437,0.5,0.25,0.01,0.93339265854592
22,11,437,0.5,0.25,0.1,0.904610760918546
22,11,437,0.5,0.5,0.001,0.946898881055023
22,11,437,0.5,0.5,0.01,0.933338686556702
22,11,437,0.5,0.5,0.1,0.904355415631716
22,11,437,0.5,0.75,0.001,0.946908858876786
22,11,437,0.5,0.75,0.01,0.933104201136813
22,11,437,0.5,0.75,0.1,0.903951487095723
22,11,437,0.5,1,0.001,0.94654252730869
22,11,437,0.5,1,0.01,0.932731677731148
22,11,437,0.5,1,0.1,0.903434159521372
22,11,437,0.25,0,0.001,0.940289717144003
22,11,437,0.25,0,0.01,0.936139458901417
22,11,437,0.25,0,0.1,0.908556551566769
22,11,437,0.25,0.25,0.001,0.942933610790168
22,11,437,0.25,0.25,0.01,0.936546194143485
22,11,437,0.25,0.25,0.1,0.908401984555832
22,11,437,0.25,0.5,0.001,0.945002477582573
22,11,437,0.25,0.5,0.01,0.937140976700645
22,11,437,0.25,0.5,0.1,0.908324532685658
22,11,437,0.25,0.75,0.001,0.946660007452006
22,11,437,0.25,0.75,0.01,0.937621064288619
22,11,437,0.25,0.75,0.1,0.908198733981608
22,11,437,0.25,1,0.001,0.947992419061993
22,11,437,0.25,1,0.01,0.937986507931642
22,11,437,0.25,1,0.1,0.908019283293081
22,12,1159,0.75,0,0.001,0.883758871221872
22,12,1159,0.75,0,0.01,0.921684646719027
22,12,1159,0.75,0,0.1,0.925560628925705
22,12,1159,0.75,0.25,0.001,0.881535290977346
22,12,1159,0.75,0.25,0.01,0.918665148373636
22,12,1159,0.75,0.25,0.1,0.922545260808583
22,12,1159,0.75,0.5,0.001,0.876318955109824
22,12,1159,0.75,0.5,0.01,0.914431936963795
22,12,1159,0.75,0.5,0.1,0.919045614372047
22,12,1159,0.75,0.75,0.001,0.870253985468912
22,12,1159,0.75,0.75,0.01,0.909845865449808
22,12,1159,0.75,0.75,0.1,0.915447676425455
22,12,1159,0.75,1,0.001,0.863779829907427
22,12,1159,0.75,1,0.01,0.905131715759623
22,12,1159,0.75,1,0.1,0.911865012578735
22,12,1159,0.5,0,0.001,0.726566594854938
22,12,1159,0.5,0,0.01,0.821827467186617
22,12,1159,0.5,0,0.1,0.858411182375789
22,12,1159,0.5,0.25,0.001,0.731637976807906
22,12,1159,0.5,0.25,0.01,0.823085100045098
22,12,1159,0.5,0.25,0.1,0.856311909955796
22,12,1159,0.5,0.5,0.001,0.731232625202389
22,12,1159,0.5,0.5,0.01,0.821968805845306
22,12,1159,0.5,0.5,0.1,0.853059750750821
22,12,1159,0.5,0.75,0.001,0.729183438774295
22,12,1159,0.5,0.75,0.01,0.81993867280782
22,12,1159,0.5,0.75,0.1,0.849514016225734
22,12,1159,0.5,1,0.001,0.726084623141994
22,12,1159,0.5,1,0.01,0.817325136421791
22,12,1159,0.5,1,0.1,0.845845266356169
22,12,1159,0.25,0,0.001,0.611950092810771
22,12,1159,0.25,0,0.01,0.749068166875276
22,12,1159,0.25,0,0.1,0.815065201491567
22,12,1159,0.25,0.25,0.001,0.621725015307128
22,12,1159,0.25,0.25,0.01,0.754271208936432
22,12,1159,0.25,0.25,0.1,0.815503615932147
22,12,1159,0.25,0.5,0.001,0.6286947094028
22,12,1159,0.25,0.5,0.01,0.757787744380649
22,12,1159,0.25,0.5,0.1,0.814882845627889
22,12,1159,0.25,0.75,0.001,0.634019613312339
22,12,1159,0.25,0.75,0.01,0.760309354337783
22,12,1159,0.25,0.75,0.1,0.813913512577111
22,12,1159,0.25,1,0.001,0.638028511002811
