trait,sweep_kind,sweep_id,delta,comparison,mean_diff,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − AMR,0.264263254827682,0.020724718846718,0.221918990767958,0.30399793288548
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − MELD_lambda0_equal,0.00564018501829516,0.00815229198230401,-0.00970097443489293,0.0222899928573945
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.0618635740595244,0.00775058122633184,0.0460263184322668,0.0767491126632238
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda1_true − MELD_lambda0_true,-0.00423889514051397,0.00209767412400574,-0.00847662849970443,-0.000178648324052994
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − EUR,0.164178737115967,0.0111189875886364,0.142475443236443,0.184480387299389
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − EAS,0.274277406080237,0.0130394625268116,0.247989353393324,0.299084546439322
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − AFR,0.131599954958444,0.0126926959163057,0.106930537760034,0.157794266911381
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − AMR,0.173094424492348,0.0167814308618229,0.139465308688127,0.205235457635585
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − MELD_lambda0_equal,0.0106409653404827,0.00562279066055785,-0.0002007683672096,0.0218839522259733
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.0457095444031874,0.00703400488695548,0.0323088301552749,0.0600006596059435
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda1_true − MELD_lambda0_true,-0.00238098973162552,0.00137440783335397,-0.00520112579713324,0.000134502855112057
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − EUR,0.130945412243697,0.00922954033070467,0.113828415320995,0.148914945909852
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − EAS,0.20656413257699,0.0116494679337637,0.183332557794087,0.229428114680721
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − AFR,0.0879814804481354,0.00853738867419226,0.0718743299840067,0.105083521127
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − AMR,0.133062148873735,0.0144808002539322,0.106252368684161,0.161230852457216
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.0140892871957244,0.00482389099246313,0.00497100654224473,0.0239936532968707
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.0360201094511319,0.00553490296294438,0.0256571889118931,0.0476155415256084
IPF,EUR_AFR,EUR_AFR_07,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.00247849278939224,0.00107315403256642,-0.00459705266570126,-0.000405107505551298
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − EUR,0.246280057845274,0.0205664294489294,0.205371401955065,0.286818386588594
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − EAS,0.381721876435888,0.0213591209080075,0.340202617692868,0.422363364419574
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − AFR,0.248734863023917,0.0218500738719776,0.204514869444009,0.290252112026375
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − AMR,0.269944175810887,0.020525274533981,0.227880422082985,0.310142228063602
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.0120859477712402,0.0109355891272731,-0.0310576963403107,0.0106322733237682
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.0857354934333492,0.0129104014841648,0.0633255114978842,0.112622385157116
IPF,EUR_AFR,EUR_AFR_08,0.001,MELD_lambda1_true − MELD_lambda0_true,-0.00597206097782162,0.00290001636530569,-0.0119093314553688,-0.000474314423535574
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − EUR,0.139240792201153,0.0104902617199885,0.119075726425782,0.160034611308809
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − EAS,0.24787656295292,0.0154807355495802,0.216101786969819,0.276062278318757
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − AFR,0.182042939549985,0.0173280957908213,0.147262400329724,0.215513318739413
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − AMR,0.177959630032302,0.0171512293847952,0.144725363767627,0.210526911996711
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − MELD_lambda0_equal,0.00137256988036076,0.00600172408172491,-0.010819249579867,0.0130996558101494
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.0703943158839971,0.00851938378739076,0.0551331259920852,0.0884413097093123
IPF,EUR_AFR,EUR_AFR_08,0.01,MELD_lambda1_true − MELD_lambda0_true,-0.00370531940549859,0.00156423038196575,-0.00701290332631606,-0.000789898429789901
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − EUR,0.103150097620489,0.00794188408729082,0.0863624351468786,0.117939279996173
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − EAS,0.187342317677927,0.0107624862311929,0.166436594979715,0.208034148721813
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − AFR,0.139248980227917,0.0138507841228179,0.113360672588102,0.167930472304571
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − AMR,0.128470879267387,0.0138534830559606,0.102663186769795,0.1557350981217
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.00597664614257634,0.00448993869462168,-0.00276615278370144,0.0149241555792056
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.0565206167781147,0.00890416358865758,0.0392898074738544,0.0740367432626037
IPF,EUR_AFR,EUR_AFR_08,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.00234246654928906,0.00132959024137081,-0.00525102819598585,2.64225795030146e-05
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − EUR,0.225091043738558,0.0165148666654129,0.19532175802348,0.257973526146075
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − EAS,0.36472774398687,0.0242211900529448,0.318999417666103,0.411261794289518
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − AFR,0.263427635818946,0.0204279937921467,0.221789446121558,0.299786607754626
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − AMR,0.241341580182534,0.0221539446902444,0.196039502545591,0.282695411211906
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.00692821625518705,0.00731170393611279,-0.0208110283640785,0.00755524539381399
IPF,EUR_AFR,EUR_AFR_09,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.158806070103293,0.0148042834479696,0.131399976566403,0.188718615719515
