trait,delta,candidate,mean,sd,lo95,hi95
VTE,0.001,AFR,0.625687535400343,0.0231879660024173,0.581752153269743,0.672731320229422
VTE,0.001,CSA,0.67554868582942,0.0217335387983404,0.634459369975619,0.719400445650559
VTE,0.001,AMR,0.713899477440342,0.0220265681175834,0.671294374247731,0.758028102283946
VTE,0.001,MID,0.747681463606146,0.0166711432765026,0.716982404934612,0.781263786150271
VTE,0.01,MELD_lambda0_afproj,0.87679525178554,0.0101138101499348,0.856015592635469,0.895933821852767
VTE,0.01,MELD_lambda0_reportN,0.87780561951422,0.0100568200607293,0.856576711288729,0.895745482190222
VTE,0.01,MELD_lambda0_equal,0.871694016067496,0.0116187765612462,0.845988373219679,0.891792368689341
VTE,0.01,MELD_lambda1_afproj,0.876668254652374,0.0101766607119754,0.855031052925265,0.894356234013092
VTE,0.01,EUR,0.859352064303356,0.0110613223279938,0.836156443256549,0.878696390608866
VTE,0.01,EAS,0.77185868497625,0.0136573382663511,0.744733716236625,0.798164493666648
VTE,0.01,AFR,0.744101151158061,0.0172772211997473,0.708640398141483,0.775944286810958
VTE,0.01,CSA,0.833020671648064,0.0122771642917166,0.807591222998526,0.855518613774651
VTE,0.01,AMR,0.841180759648925,0.0123338242537689,0.815908806838603,0.86346493901882
VTE,0.01,MID,0.846845134846449,0.0111435726033546,0.823548870701051,0.86813618489415
VTE,0.1,MELD_lambda0_afproj,0.881010637644189,0.00987050515319856,0.859552206340141,0.898604993754346
VTE,0.1,MELD_lambda0_reportN,0.881578744782232,0.0099458078582069,0.860960843773572,0.900056395766371
VTE,0.1,MELD_lambda0_equal,0.866746719530481,0.011646790784845,0.843047668979209,0.887958865386724
VTE,0.1,MELD_lambda1_afproj,0.880342555419487,0.0101457953704164,0.85944334324525,0.898562907991024
VTE,0.1,EUR,0.875874622404744,0.0096557065248335,0.855821278153897,0.893853083724794
VTE,0.1,EAS,0.79595100067011,0.0144452652475441,0.764978121255886,0.821440775028657
VTE,0.1,AFR,0.75884800962523,0.0174009593466679,0.722746455786378,0.791379881941054
VTE,0.1,CSA,0.849525361983078,0.0125127172500798,0.823696713615677,0.872358529142894
VTE,0.1,AMR,0.858366204369146,0.0119196912245064,0.83241813299479,0.879190351165971
VTE,0.1,MID,0.855866579807096,0.0115854295202715,0.831229820568761,0.876758534252736
